                trainId,    train Data,  Overfit Data, learning Rate,max Iterations,   print Steps, Overfit Steps,    activation,     normalize,    ANN layers,     layerSize,    Decision %,        stopIt,    stopReason,          Cost,     ClassRate,  OvrftClassRt,      OFStopIt,        OFCost,   OFClassRate,OFOvrftClassRt
  20180617094908.002700,     002PCA700,     142PCA700,        0.0001,        100000,           250,            10,       sigmoid,          none,             1,          2100,            50         99999      Iterations,        3.60          0.84          0.77
  20180617212003.002700,     002PCA700,     142PCA700,         0.001,        100000,           250,            10,       sigmoid,          none,             1,          2100,            50         99999      Iterations,         0.41          0.96          0.72
  20180618161316.002700,     002PCA700,     142PCA700,         0.001,        100000,           250,            10,       sigmoid,          none,             2,          2100,            50         98000          100Acc,          0.00          1.00          0.71
  20180619005827.002700,     002PCA700,     142PCA700,         0.001,        100000,           250,            10,       sigmoid,          none,             5,          2100,            50,          5250,     User Stop,          0.00,          1.00,          0.64,          4000,          0.00,          1.00,          0.64
  20180620231053.002700,     002PCA700,     142PCA700,        0.0001,        100000,           250,            10,       sigmoid,          none,             5,          2100,            50,          2250,     User Stop,          0.01,          1.00,          0.69,           250,          0.65,          0.94,          0.70
  20180621002535.002700,     002PCA700,     142PCA700,        0.0001,        100000,           125,            10,       sigmoid,          none,            10,          2100,            50,          1000,     User Stop,          0.00,          1.00,          0.82,             0,          3.32,          0.87,          0.83
  20180621021118.002700,     002PCA700,     142PCA700,         1e-07,        100000,             1,            10,       sigmoid,          none,           100,          2100,            50,           775,     User Stop,         24.00,          0.11,          0.12,             0,          3.06,          0.89,          0.88
  20180622162424.002700,     002PCA700,     142PCA700,        0.0001,        100000,           500,            10,       sigmoid,          none,             1,          1050,            50,         99999,    Iterations,          0.73,          0.91,          0.76,          2000,          3.51,          0.83,          0.78
  20180623204948.002700,     002PCA700,     142PCA700,         0.001,        100000,           500,            10,       sigmoid,          none,             5,          1050,            50,         10000,     User Stop,          0.00,          1.00,          0.72,             0,          2.31,          0.85,          0.82
  20180623220242.002700,     002PCA700,     142PCA700,         0.001,        100000,           500,            10,       sigmoid,          none,            10,          1050,            50,         11500,     User Stop,          0.00,          1.00,          0.85,             0,          2.30,          0.88,          0.85
  20180624000435.002700,     002PCA700,     142PCA700,         0.001,        100000,           100,            10,       sigmoid,          none,            20,          1050,            50,         14100,       Overfit,          0.00,          1.00,          0.75,          1300,          1.09,          0.89,          0.88
  20180624130848.002700,     002PCA700,     142PCA700,        0.0001,        100000,           100,            10,          relu,       Row Max,             1,
  20180703194617.002700,     002PCA700,     142PCA700,        0.0001,        100000,           100,            10,          relu,       Row Max,             5,          1050,            50,          5253,     User Stop,          0.33,          0.89,          0.88,           100,          0.35,          0.89,          0.88
  20180703210641.002700,     002PCA700,     142PCA700,         1e-06,        100000,           100,            10,          relu,       Row Max,            10,          1050,            50,         14500,     User Stop,          0.69,          0.89,          0.88,           200,          0.69,          0.89,          0.88
  20180703235201.002700,     002PCA700,     142PCA700,        0.0001,        100000,           100,            10,          relu,       Row Max,            15,          1050,            50,         49173,     User Stop,          0.35,          0.89,          0.88,             0,          0.69,          0.89,          0.88
  20180704091718.002700,     002PCA700,     142PCA700,          0.01,        100000,           100,            10,          relu,       Row Max,             8,          1050,            50,         24265,     User Stop,          0.34,          0.89,          0.88,             0,          0.69,          0.89,          0.88
  20180707142330.002700,     002PCA700,     142PCA700,          0.01,        100000,           100,            10,          relu,       std Dev,             1,          1050,            50,         36738,     User Stop,          0.00,          1.00,          0.85,           100,          0.34,          0.89,          0.88
  20180707160230.002700,     002PCA700,     142PCA700,          0.01,        100000,           100,            10,          relu,       std Dev,             2,          1050,            50,         22767,     User Stop,          0.00,          1.00,          0.85,           100,          0.35,          0.89,          0.88
  20190515145338.002700,     002PCA700,     142PCA700,          0.01,        100000,           100,            10,          relu,       std Dev,             4,          1050,            50,          6935,     User Stop,          0.00,          1.00,          0.87,           100,          0.48,          0.89,          0.88
  20190516094511.002700,     002PCA700,     142PCA700,          0.01,        100000,           100,            10,          relu,       std Dev,             8,          1050,            50,          6756,     User Stop,          0.34,          0.89,          0.88,             0,          0.69,          0.89,          0.88
